stnd_dt,ticker,name
20210208,094480,갤럭시아머니트리
20210208,027830,대성창투
20210208,035610,솔본
20210208,086980,쇼박스
20210208,067160,아프리카TV
20210208,089970,에이피티씨
20210208,054210,이랜텍
20210208,082660,코스나인
20210208,033290,코웰패션
20210208,037070,파세코
20210208,065510,휴비츠
20210208,030210,KTB투자증권
20210208,010950,S-Oil
20210208,005720,넥센
20210208,090350,노루페인트
20210208,280360,롯데제과
20210208,007160,사조산업
20210208,000910,유니온
20210208,035720,카카오
20210208,003690,코리안리
20210208,002020,코오롱
20210208,105630,한세실업
20210208,010420,한솔PNS
20210208,213500,한솔제지
20210208,069960,현대백화점
20210208,003010,혜인
20210208,000540,흥국화재
