stnd_dt,ticker,name
20210204,060370,KT서브마린
20210204,079940,가비아
20210204,198440,고려시멘트
20210204,032860,글로스퍼랩스
20210204,228670,레이
20210204,080470,성창오토텍
20210204,208370,셀바스헬스케어
20210204,056190,에스에프에이
20210204,096630,에스코넥
20210204,067570,엔브이에이치코리아
20210204,265560,영화테크
20210204,080580,오킨스전자
20210204,309930,오하임아이엔티
20210204,079000,와토스코리아
20210204,053080,원방테크
20210204,126880,제이엔케이히터
20210204,049120,파인디앤씨
20210204,001120,LG상사
20210204,068400,SK렌터카
20210204,093230,이아이디
20210204,227840,현대코퍼레이션홀딩스
20210204,079980,휴비스
