stnd_dt,ticker,name
20210209,130500,GH신소재
20210209,049470,SGA
20210209,092730,네오팜
20210209,290670,대보마그네틱
20210209,038390,레드캡투어
20210209,214610,미코바이오메드
20210209,033560,블루콤
20210209,208640,썸에이지
20210209,021080,에이티넘인베스트
20210209,009780,엠에스씨
20210209,041190,우리기술투자
20210209,036090,위지트
20210209,272290,이녹스첨단소재
20210209,086890,이수앱지스
20210209,024810,이화전기
20210209,221610,자안
20210209,046210,파나진
20210209,052260,현대바이오랜드
20210209,000040,KR모터스
20210209,014530,극동유화
20210209,003540,대신증권
20210209,241560,두산밥캣
20210209,003610,방림
20210209,018250,애경산업
20210209,014580,태경비케이
20210209,006060,화승인더
